driver_age,driver_experience,previous_accidents,annual_mileage_x1000_km,car_manufacturing_year,car_age,insurance_premium_
58.0,31.0,4.0,13.0,2010.0,15.0,487.25
53.0,16.0,3.0,18.0,2010.0,15.0,491.5
50.0,16.0,1.0,24.0,1997.0,28.0,490.7
21.0,3.0,3.0,13.0,2005.0,20.0,502.05
50.0,8.0,0.0,23.0,2020.0,5.0,489.25
31.0,13.0,1.0,14.0,1999.0,26.0,494.7
38.0,1.0,5.0,18.0,2021.0,4.0,500.9
65.0,24.0,1.0,11.0,2023.0,2.0,482.05
37.0,19.0,4.0,23.0,1998.0,27.0,496.75
25.0,7.0,2.0,23.0,2006.0,19.0,498.95
24.0,6.0,5.0,16.0,2000.0,25.0,504.2
20.0,2.0,1.0,11.0,2021.0,4.0,497.85
34.0,16.0,5.0,24.0,1999.0,26.0,499.7
50.0,28.0,5.0,11.0,2011.0,14.0,491.05
65.0,33.0,5.0,24.0,2006.0,19.0,487.7
29.0,11.0,2.0,18.0,1993.0,32.0,498.0
39.0,21.0,3.0,21.0,2014.0,11.0,492.55
39.0,10.0,5.0,14.0,2010.0,15.0,498.9
63.0,5.0,0.0,22.0,1990.0,35.0,490.5
47.0,17.0,4.0,11.0,2014.0,11.0,493.15
55.0,20.0,2.0,20.0,2025.0,0.0,487.0
55.0,35.0,1.0,17.0,2006.0,19.0,482.75
62.0,40.0,2.0,15.0,2013.0,12.0,480.55
25.0,7.0,1.0,15.0,1991.0,34.0,498.55
44.0,26.0,2.0,11.0,2004.0,21.0,489.05
44.0,16.0,1.0,24.0,2021.0,4.0,489.5
51.0,33.0,5.0,20.0,1995.0,30.0,491.4
38.0,20.0,3.0,21.0,1990.0,35.0,495.45
47.0,29.0,1.0,16.0,2012.0,13.0,485.5
50.0,11.0,1.0,24.0,2006.0,19.0,491.3
45.0,22.0,0.0,19.0,2023.0,2.0,485.55
64.0,21.0,1.0,19.0,2018.0,7.0,484.05
50.0,20.0,0.0,18.0,1998.0,27.0,487.6
22.0,4.0,4.0,15.0,2002.0,23.0,503.45
65.0,30.0,5.0,11.0,1995.0,30.0,489.05
36.0,5.0,0.0,19.0,1995.0,30.0,495.25
21.0,3.0,3.0,11.0,2009.0,16.0,501.55
52.0,34.0,5.0,18.0,1992.0,33.0,491.1
34.0,16.0,0.0,15.0,2006.0,19.0,491.05
61.0,11.0,5.0,13.0,2001.0,24.0,495.05
45.0,6.0,5.0,21.0,1990.0,35.0,501.25
47.0,9.0,5.0,17.0,2006.0,19.0,498.15
46.0,16.0,4.0,17.0,1992.0,33.0,496.15
63.0,25.0,3.0,19.0,2015.0,10.0,486.35
23.0,5.0,2.0,17.0,2004.0,21.0,499.85
52.0,27.0,2.0,23.0,2025.0,0.0,485.65
58.0,1.0,0.0,21.0,2021.0,4.0,489.55
54.0,0.0,5.0,24.0,2021.0,4.0,498.3
41.0,23.0,0.0,13.0,1993.0,32.0,488.75
46.0,25.0,4.0,21.0,2007.0,18.0,492.15
63.0,28.0,4.0,23.0,2008.0,17.0,487.85
48.0,20.0,1.0,25.0,2024.0,1.0,487.25
52.0,10.0,4.0,24.0,2003.0,22.0,496.0
50.0,32.0,1.0,23.0,2022.0,3.0,483.35
38.0,10.0,3.0,11.0,2003.0,22.0,496.65
49.0,31.0,0.0,18.0,2023.0,2.0,482.0
40.0,22.0,3.0,22.0,1993.0,32.0,494.2
50.0,32.0,4.0,13.0,2013.0,12.0,488.25
20.0,2.0,3.0,22.0,2018.0,7.0,501.7
35.0,17.0,3.0,18.0,2008.0,17.0,495.0
42.0,23.0,3.0,18.0,1995.0,30.0,493.1
59.0,21.0,4.0,23.0,2022.0,3.0,489.35
48.0,4.0,5.0,15.0,2008.0,17.0,499.15
20.0,2.0,3.0,23.0,1990.0,35.0,504.55
57.0,35.0,1.0,22.0,1994.0,31.0,483.8
63.0,19.0,4.0,23.0,2016.0,9.0,489.75
41.0,18.0,3.0,11.0,2005.0,20.0,493.45
49.0,31.0,5.0,23.0,1995.0,30.0,492.55
64.0,16.0,4.0,20.0,2002.0,23.0,491.7
39.0,21.0,2.0,17.0,2024.0,1.0,489.85
40.0,8.0,5.0,22.0,2008.0,17.0,499.9
19.0,1.0,1.0,20.0,2001.0,24.0,500.8
44.0,1.0,3.0,15.0,2005.0,20.0,498.15
59.0,8.0,2.0,18.0,1999.0,26.0,492.3
19.0,1.0,2.0,19.0,2014.0,11.0,500.95
43.0,25.0,4.0,21.0,2009.0,16.0,492.55
34.0,16.0,2.0,24.0,2020.0,5.0,493.1
57.0,0.0,1.0,17.0,1993.0,32.0,494.15
50.0,24.0,1.0,24.0,2012.0,13.0,486.8
26.0,8.0,0.0,23.0,1991.0,34.0,496.95
60.0,24.0,1.0,25.0,2011.0,14.0,484.95
65.0,38.0,5.0,17.0,1997.0,28.0,486.75
56.0,34.0,2.0,11.0,1996.0,29.0,485.05
46.0,2.0,1.0,25.0,2003.0,22.0,495.15
59.0,36.0,4.0,14.0,1992.0,33.0,487.4
43.0,25.0,0.0,12.0,2005.0,20.0,486.5
52.0,34.0,2.0,12.0,2008.0,17.0,484.7
42.0,24.0,0.0,12.0,2007.0,18.0,486.8
41.0,11.0,2.0,14.0,2005.0,20.0,494.2
30.0,12.0,4.0,24.0,1997.0,28.0,500.4
24.0,6.0,0.0,11.0,2022.0,3.0,494.25
53.0,16.0,3.0,25.0,2001.0,24.0,492.75
62.0,9.0,5.0,14.0,2000.0,25.0,495.6
37.0,11.0,5.0,12.0,1994.0,31.0,500.5
18.0,0.0,2.0,15.0,2016.0,9.0,501.05
25.0,7.0,3.0,13.0,2001.0,24.0,500.45
63.0,18.0,0.0,25.0,2006.0,19.0,485.15
33.0,7.0,3.0,22.0,1995.0,30.0,499.9
31.0,13.0,3.0,18.0,2022.0,3.0,495.6
29.0,11.0,0.0,14.0,1994.0,31.0,494.7
40.0,16.0,4.0,11.0,2017.0,8.0,494.55
32.0,14.0,3.0,11.0,2003.0,22.0,496.65
45.0,27.0,3.0,22.0,1994.0,31.0,491.6
51.0,15.0,4.0,20.0,2022.0,3.0,492.6
19.0,1.0,3.0,13.0,2008.0,17.0,502.75
49.0,7.0,3.0,25.0,2011.0,14.0,495.25
40.0,22.0,3.0,19.0,1994.0,31.0,493.95
39.0,17.0,5.0,17.0,1991.0,34.0,498.85
42.0,24.0,1.0,12.0,2019.0,6.0,487.1
39.0,11.0,4.0,25.0,1993.0,32.0,499.35
39.0,14.0,3.0,23.0,2022.0,3.0,493.95
59.0,25.0,5.0,19.0,2002.0,23.0,491.45
23.0,5.0,4.0,20.0,2009.0,16.0,502.5
32.0,14.0,2.0,12.0,1996.0,29.0,495.9
60.0,31.0,2.0,13.0,2004.0,21.0,484.45
54.0,9.0,3.0,21.0,2012.0,13.0,493.35
50.0,15.0,5.0,23.0,2003.0,22.0,496.35
25.0,6.0,5.0,20.0,2012.0,13.0,503.0
61.0,16.0,4.0,24.0,2008.0,17.0,491.9
61.0,22.0,4.0,12.0,2018.0,7.0,488.5
22.0,4.0,5.0,13.0,2009.0,16.0,504.15
56.0,20.0,4.0,16.0,2018.0,7.0,490.3
21.0,3.0,5.0,19.0,2013.0,12.0,504.55
23.0,5.0,1.0,19.0,2007.0,18.0,498.15
62.0,13.0,5.0,17.0,1999.0,26.0,494.65
49.0,14.0,2.0,22.0,1997.0,28.0,492.9
47.0,6.0,4.0,13.0,2015.0,10.0,496.45
64.0,8.0,5.0,14.0,2018.0,7.0,493.7
52.0,7.0,5.0,16.0,1999.0,26.0,498.4
57.0,22.0,4.0,21.0,2006.0,19.0,490.95
33.0,15.0,1.0,15.0,1991.0,34.0,494.55
30.0,12.0,1.0,12.0,1995.0,30.0,495.5
59.0,30.0,4.0,23.0,1994.0,31.0,489.45
47.0,29.0,0.0,16.0,2017.0,8.0,483.5
36.0,18.0,4.0,13.0,1994.0,31.0,497.15
34.0,16.0,4.0,24.0,2007.0,18.0,497.4
36.0,17.0,1.0,18.0,2015.0,10.0,491.1
45.0,27.0,1.0,12.0,2009.0,16.0,486.6
43.0,16.0,4.0,11.0,2016.0,9.0,494.05
54.0,13.0,4.0,19.0,2001.0,24.0,494.65
43.0,25.0,4.0,24.0,1996.0,29.0,494.0
40.0,22.0,1.0,22.0,1992.0,33.0,491.3
26.0,8.0,4.0,13.0,1999.0,26.0,501.65
29.0,11.0,4.0,21.0,2023.0,2.0,498.15
18.0,0.0,3.0,11.0,2014.0,11.0,502.55
18.0,0.0,0.0,17.0,2024.0,1.0,497.35
64.0,39.0,2.0,23.0,2005.0,20.0,481.65
51.0,25.0,0.0,25.0,1991.0,34.0,486.95
49.0,22.0,3.0,20.0,2013.0,12.0,490.3
65.0,38.0,2.0,15.0,1999.0,26.0,481.95
42.0,14.0,4.0,15.0,2011.0,14.0,495.55
57.0,3.0,3.0,24.0,2015.0,10.0,494.4
62.0,28.0,4.0,11.0,2016.0,9.0,486.65
18.0,0.0,1.0,25.0,2018.0,7.0,499.85
33.0,15.0,5.0,25.0,2009.0,16.0,499.25
56.0,12.0,3.0,19.0,2016.0,9.0,491.55
22.0,4.0,1.0,17.0,2009.0,16.0,498.35
39.0,21.0,3.0,18.0,2008.0,17.0,493.0
46.0,15.0,3.0,19.0,2009.0,16.0,493.35
20.0,1.0,1.0,16.0,2024.0,1.0,498.1
29.0,11.0,2.0,22.0,1991.0,34.0,498.4
43.0,25.0,0.0,15.0,2019.0,6.0,485.25
33.0,15.0,4.0,16.0,2023.0,2.0,495.9
54.0,12.0,3.0,21.0,2011.0,14.0,492.55
39.0,12.0,4.0,12.0,1992.0,33.0,498.5
46.0,17.0,5.0,14.0,1995.0,30.0,496.9
31.0,13.0,1.0,13.0,2004.0,21.0,494.15
45.0,27.0,4.0,23.0,2016.0,9.0,490.95
22.0,4.0,1.0,17.0,1999.0,26.0,499.35
64.0,38.0,4.0,19.0,1998.0,27.0,485.45
47.0,28.0,0.0,15.0,2022.0,3.0,483.25
63.0,28.0,0.0,16.0,2021.0,4.0,480.2
22.0,4.0,0.0,20.0,1995.0,30.0,498.4
29.0,9.0,0.0,24.0,2025.0,0.0,492.7
33.0,15.0,0.0,22.0,1991.0,34.0,493.4
